link,name,description,genre,type,actors,directors,content_rating,release_date,producers,poster,synopsis,movie_info,tomatometer_movie_rating,tomatometer_ratings_count,tomatometer_reviews_count,trailer_url,uniq_id,scraped_at
https://www.rottentomatoes.com/m/al_doilea_joc,Al doilea joc,"Discover reviews, ratings, and trailers for Al doilea joc on Rotten Tomatoes. Stay updated with critic and audience scores today!",,Movie,,Corneliu Porumboiu,,,,,,[{'Director': 'Corneliu Porumboiu'}],60,,3,,5dcb8a37-749b-51f0-9036-cee8b45d007f,18/07/2025 14:31:33
https://www.rottentomatoes.com/m/1192806-lost_in_beijing,Lost in Beijing,"Discover reviews, ratings, and trailers for Lost in Beijing on Rotten Tomatoes. Stay updated with critic and audience scores today!",Drama,Movie,"Tony Leung Ka Fai, Fan Bingbing, Elaine Jin, Tong Da Wei",Yu Li,,,,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p176560_p_v8_aa.jpg,"A young married woman, Liu Pingguo (Bingbing Fan), works in a massage parlor for sleazy Lin Dong (Tony Leung Ka Fai) and his infertile wife, Wang Mei (Elaine Jin). One night, Lin finds Liu drunk and rapes her, while her window-washer husband, An Kun (Tong Da Wei), helplessly watches. Furious, An attacks Lin's car and tries to blackmail him. When Liu discovers she's pregnant, the two couples come to an agreement: money for Liu if the child is Lin's, and nothing but custody if An is the father.","[{'Director': 'Yu Li'}, {'Screenwriter': 'Li Fang, \nYu Li'}, {'Genre': 'Drama'}, {'Original Language': 'Chinese'}, {'Release Date (Streaming)': 'May 9, 2019'}, {'Box Office (Gross USA)': '$10.8K'}, {'Runtime': '1h 52m'}]",52,23,23,,f927cc90-b386-5c66-847b-4d2644cd7d2d,18/07/2025 14:31:33
https://www.rottentomatoes.com/m/veettoda_mapillai,Veettoda Mapillai,"Discover reviews, ratings, and trailers for Veettoda Mapillai on Rotten Tomatoes. Stay updated with critic and audience scores today!",Drama,Movie,"Kalpana, Kovai Sarala, Kumaresan",V. Sekhar,,,,,,"[{'Director': 'V. Sekhar'}, {'Genre': 'Drama'}, {'Original Language': 'Tamil'}, {'Runtime': '3h 0m'}]",,,,,2bc0a931-1a9e-5478-80ba-72a04e1304b3,18/07/2025 14:31:39
https://www.rottentomatoes.com/m/the_silken_affair,The Silken Affair,"Discover reviews, ratings, and trailers for The Silken Affair on Rotten Tomatoes. Stay updated with critic and audience scores today!","Comedy, Crime, Drama, Romance",Movie,"David Niven, Geneviève Page, Ronald Squire, Beatrice Straight, Wilfrid Hyde-White",Roy Kellino,,1957-09-02,Douglas Fairbanks Jr.,,Roger tweaks the books of two businesses to make money.,"[{'Director': 'Roy Kellino'}, {'Producer': 'Fred Feldkamp'}, {'Screenwriter': 'Robert Lewis Taylor'}, {'Genre': 'Comedy, \nCrime, \nDrama, \nRomance'}, {'Original Language': 'English'}, {'Release Date (Theaters)': 'Sep 2, 1957, Original'}, {'Runtime': '1h 36m'}]",,,,,4801e491-bfc8-55ad-aa93-96c2c16c8fc4,18/07/2025 14:31:39
https://www.rottentomatoes.com/m/wicked-city,Wicked City,"Discover reviews, ratings, and trailers for Wicked City on Rotten Tomatoes. Stay updated with critic and audience scores today!","Sci-Fi, Fantasy, Horror, Anime",Movie,,Yoshiaki Kawajiri,,,,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16193_p_v8_aa.jpg,"A peace treaty has been in effect for hundreds of years to prevent a war between Earth and the Black World. Although it's set to be renewed, evil forces want to make sure that doesn't happen. To ensure it does, hard-bitten human Taki Renzaburo (Greg Snegoff) and sexy demon Makie (Alexandra Kenworthy) are charged with protecting a diplomat, Mayart (Mike Reynolds), who holds the key to peace. But, with an army of multidimensional assassins on their trail, it won't be easy.","[{'Director': 'Yoshiaki Kawajiri'}, {'Production Co': 'Madhouse Productions'}, {'Genre': 'Sci-Fi, \nFantasy, \nHorror, \nAnime'}, {'Original Language': 'Japanese'}, {'Release Date (Streaming)': 'Feb 2, 2018'}, {'Runtime': '1h 30m'}]",66,,169,,0d9e2193-ba89-5dd7-a402-2b7bcb13b4d0,18/07/2025 14:31:39
https://www.rottentomatoes.com/m/the_trump_prophecy,The Trump Prophecy,"Discover reviews, ratings, and trailers for The Trump Prophecy on Rotten Tomatoes. Stay updated with critic and audience scores today!",Drama,Movie,"Chris Nelson, Paulette Todd, Karen Boles, Don Brooks, Michael Everett Johnson",Stephan Schultze,,,,https://resizing.flixster.com/AHiNa_FxwPviXn4ybsAJBEpMbr4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzgxNmFjYWJmLTNmNmMtNDgxYy04MTdlLThmM2FkNGYwNzgzZC53ZWJw,Mary Colbert hears Mark Taylor's message about God and starts a national prayer movement.,"[{'Director': 'Stephan Schultze'}, {'Producer': 'Scotty Curlee, \nRick Eldridge'}, {'Screenwriter': 'Rick Eldridge, \nJimmy Hager'}, {'Production Co': 'ReelWorks Studios'}, {'Genre': 'Drama'}, {'Original Language': 'English'}, {'Release Date (Streaming)': 'Mar 5, 2019'}, {'Runtime': '2h 0m'}]",26,,35,,9d449453-920f-53b5-a2bd-59f7a5dc2537,18/07/2025 14:31:39
https://www.rottentomatoes.com/m/spirit_in_the_blood,Spirit in the Blood,"Discover reviews, ratings, and trailers for Spirit in the Blood on Rotten Tomatoes. Stay updated with critic and audience scores today!",Mystery & Thriller,Movie,"Summer H. Howell, Sarah-Maxine Racicot, Michael Wittenborn, Greg Bryk, Sarah Abbott",Carly May Borgstrom,,,"Celine Dornier, Frédéric Fiore, George Hamilton, Pascal Hostachy",https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p28162255_p_v13_aa.jpg,"After a young girl is found dead in a secluded religious mountain community, a pack of teenage girls decide to fight against the evil spirits they believe killed her by embracing their own dark nature.","[{'Director': 'Carly May Borgstrom'}, {'Producer': 'Verena Gräfe-Höft, \nNoah Segal'}, {'Screenwriter': 'Carly May Borgstrom'}, {'Production Co': 'Logical Content Ventures, \nJunafilm, \nElevation Pictures, \nProtagonist Pictures, \nNDR/Arte'}, {'Genre': 'Mystery & Thriller'}, {'Original Language': 'English'}, {'Runtime': '1h 38m'}]",,,,,ec9a90dc-d430-53ce-9d9e-5d5217633ab6,18/07/2025 14:31:39
https://www.rottentomatoes.com/m/anomaly_haunting_stories_of_paranormal_investigations,Anomaly: Haunting Stories of Paranormal Investigations,"Discover reviews, ratings, and trailers for Anomaly: Haunting Stories of Paranormal Investigations on Rotten Tomatoes. Stay updated with critic and audience scores today!","Horror, Documentary",Movie,,Michael Watchulonis,,,,,A group of paranormal investigators enters the old Castle Warden Hotel and a local fire department to investigate spiritual anomalies reported by local people.,"[{'Director': 'Michael Watchulonis'}, {'Genre': 'Horror, \nDocumentary'}, {'Runtime': '1h 28m'}]",,,,,785da03d-8fb3-5dff-a802-74fd752a03b9,18/07/2025 14:31:44
https://www.rottentomatoes.com/m/bitter_flowers_2018,Bitter Flowers (2018),"Discover reviews, ratings, and trailers for Bitter Flowers (2018) on Rotten Tomatoes. Stay updated with critic and audience scores today!",Drama,Movie,"Xi Qi, Xi Wang, Chloé Maayan, Gaowei Qu, Le Geng",Olivier Meys,,,,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p17157613_p_v13_ab.jpg,,"[{'Director': 'Olivier Meys'}, {'Producer': 'Valérie Bournonville, \nXavier Grin, \nGilles Padovani, \nJoseph Rouschop, \nArielle Sleutel, \nGe Song'}, {'Screenwriter': 'Olivier Meys, \nZhou Amei, \nMaarten Loix'}, {'Production Co': 'Tarantula, \nMille et Une Productions'}, {'Genre': 'Drama'}, {'Original Language': 'French (France)'}, {'Runtime': '1h 36m'}]",,,,,8e2a15aa-21ae-5c8a-813f-d717defe63f5,18/07/2025 14:31:44
https://www.rottentomatoes.com/m/mr_average,Mr. Average,"Discover reviews, ratings, and trailers for Mr. Average on Rotten Tomatoes. Stay updated with critic and audience scores today!",Comedy,Movie,"Khalid Maadour, Caroline Dhavernas, Thierry Lhermitte, Chantal Lauby, Gilbert Melki",Pierre-Paul Renders,,,,,A corporation wants to test its products on a man.,"[{'Director': 'Pierre-Paul Renders'}, {'Production Co': 'Entre Chien et Loup'}, {'Genre': 'Comedy'}, {'Original Language': 'Canadian French'}, {'Release Date (DVD)': 'May 1, 2008'}, {'Runtime': '1h 30m'}]",38,,23,,6b780108-543e-5d24-b142-433113ab842f,18/07/2025 14:31:44
